Date,Product_code,Quantity,Total_Sale,day_of_week,month,quarter,year,day_of_year,month_sin,month_cos,day_of_week_sin,day_of_week_cos,sales_lag_1,sales_lag_2,sales_lag_3,sales_lag_7,sales_lag_14,sales_lag_30,prev_day_diff,rolling_avg_60,sales_ma_7,sales_std_7,sales_min_7,sales_max_7,sales_ma_14,sales_std_14,sales_min_14,sales_max_14,sales_ma_30,sales_std_30,sales_min_30,sales_max_30
2023-01-03,D1003,17.0,170.0,1,1,1,2023,3,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,8.0,8.0,8.0,10.0,25.0,8.0,9.0,10.333333333333334,9.571428571428571,3.5050983275386565,7.0,17.0,9.785714285714286,2.9398736610366663,7.0,17.0,10.466666666666667,3.757597667378061,7.0,25.0
2023-01-03,D1003,14.0,170.0,1,1,1,2023,3,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,8.0,8.0,8.0,10.0,25.0,8.0,9.0,10.333333333333334,9.571428571428571,3.5050983275386565,7.0,17.0,9.785714285714286,2.9398736610366663,7.0,17.0,10.466666666666667,3.757597667378061,7.0,25.0
2023-01-03,D1003,17.0,170.0,1,1,1,2023,3,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,8.0,8.0,8.0,10.0,25.0,8.0,9.0,10.333333333333334,9.571428571428571,3.5050983275386565,7.0,17.0,9.785714285714286,2.9398736610366663,7.0,17.0,10.466666666666667,3.757597667378061,7.0,25.0
2023-01-03,D1003,17.0,170.0,1,1,1,2023,3,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,8.0,8.0,8.0,10.0,25.0,8.0,9.0,10.333333333333334,9.571428571428571,3.5050983275386565,7.0,17.0,9.785714285714286,2.9398736610366663,7.0,17.0,10.466666666666667,3.757597667378061,7.0,25.0
2023-01-03,D1003,16.88066754403124,170.0,1,1,1,2023,3,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,8.0,8.0,8.0,10.0,25.0,8.0,9.0,10.333333333333334,9.571428571428571,3.5050983275386565,7.0,17.0,9.785714285714286,2.9398736610366663,7.0,17.0,10.466666666666667,3.757597667378061,7.0,25.0
2023-01-03,D1003,17.00173515287137,170.0,1,1,1,2023,3,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,8.0,8.0,8.0,10.0,25.0,8.0,9.0,10.333333333333334,9.571428571428571,3.5050983275386565,7.0,17.0,9.785714285714286,2.9398736610366663,7.0,17.0,10.466666666666667,3.757597667378061,7.0,25.0
2023-01-03,D1003,16.90501905746276,170.0,1,1,1,2023,3,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,8.0,8.0,8.0,10.0,25.0,8.0,9.0,10.333333333333334,9.571428571428571,3.5050983275386565,7.0,17.0,9.785714285714286,2.9398736610366663,7.0,17.0,10.466666666666667,3.757597667378061,7.0,25.0
2023-01-03,D1003,16.768787792604392,170.0,1,1,1,2023,3,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,8.0,8.0,8.0,10.0,25.0,8.0,9.0,10.333333333333334,9.571428571428571,3.5050983275386565,7.0,17.0,9.785714285714286,2.9398736610366663,7.0,17.0,10.466666666666667,3.757597667378061,7.0,25.0
2023-01-03,D1003,16.8412039135111,170.0,1,1,1,2023,3,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,8.0,8.0,8.0,10.0,25.0,8.0,9.0,10.333333333333334,9.571428571428571,3.5050983275386565,7.0,17.0,9.785714285714286,2.9398736610366663,7.0,17.0,10.466666666666667,3.757597667378061,7.0,25.0
2023-01-03,D1003,16.39357847979449,170.0,1,1,1,2023,3,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,8.0,8.0,8.0,10.0,25.0,8.0,9.0,10.333333333333334,9.571428571428571,3.5050983275386565,7.0,17.0,9.785714285714286,2.9398736610366663,7.0,17.0,10.466666666666667,3.757597667378061,7.0,25.0
